depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
1367,599,3730,275968,2988,26548,334,334,332,0
1367.5,586,3858,270924,3303,27236,356,313,249,0
1368,662,4220,270705,3370,25670,302,323,367,0
1368.5,602,4163,272346,3236,27339,353,335,371,0
1369,675,4177,286986,3172,31065,468,252,266,0
1369.5,634,4326,278671,3288,25640,426,290,271,0
1370,698,4060,291047,3031,26442,291,319,424,0
1370.5,704,4246,282814,2964,26428,307,285,312,0
1371,585,3860,260604,3000,27519,204,338,245,0
1371.5,662,4538,283709,3123,26946,366,304,313,0
1372,643,4201,296069,3127,27349,392,243,475,0
1372.5,561,3733,275998,3115,28355,344,374,341,0
1373,589,4306,278818,3399,26753,347,387,307,0
1373.5,745,4228,299781,3256,26637,316,301,415,0
1374,643,4002,298720,3301,28183,327,264,269,0
1374.5,661,4471,285315,3629,27665,376,339,203,0
1375,563,4334,273193,3096,25592,292,299,333,0
1375.5,721,4440,296825,3016,26945,297,257,238,0
1376,681,4335,297306,3259,26777,212,350,441,0
1376.5,577,4037,274735,2983,25905,188,295,361,0
1377,557,3905,280676,2749,28157,303,262,352,0
1377.5,570,3754,277626,2959,32627,296,254,497,0
1378,600,4152,286687,3096,29164,340,311,379,0
1378.5,600,4133,291137,3284,28343,268,354,200,0
1379,549,4087,294114,3201,27750,288,344,307,0
1379.5,632,4010,287131,3376,27880,283,238,401,25
1380,655,4337,293391,3066,28936,306,277,366,0
1380.5,560,4725,295086,3169,29880,326,267,427,0
1381,517,4402,295232,3174,28594,260,305,399,0
1381.5,604,4019,297276,3883,29001,257,294,416,0
1382,549,4311,305666,3574,27966,309,265,436,0
1382.5,665,4320,311501,3241,28264,348,306,335,0
1383,663,3966,292267,3227,28803,347,275,298,0
1383.5,543,4142,285605,3209,28455,362,344,258,0
1384,551,4269,287532,3006,33367,364,370,330,0
1384.5,579,3918,280564,3481,32835,346,262,324,0
1385,619,3631,272581,3347,31142,344,338,411,0
1385.5,602,3602,269261,2724,32197,379,332,248,0
1386,543,3685,269248,3194,33738,355,298,374,0
1386.5,540,3475,263104,3201,31303,311,334,273,0
1387,452,2964,257988,2511,31632,324,330,255,0
1387.5,525,3151,255608,2317,32364,295,345,300,0
1388,424,2864,233767,2658,34145,331,379,240,0
1388.5,431,3101,246509,2397,36946,326,328,273,0
1389,568,3468,253358,2517,39744,397,335,281,0
1389.5,541,3077,239339,2594,39758,390,337,180,48
1390,441,2987,242141,2503,40896,378,262,155,7
1390.5,438,2778,247225,2345,41873,334,359,378,26
1391,456,2918,241697,2693,43470,473,311,349,69
1391.5,511,3070,257478,2744,42670,396,317,370,25
1392,478,3092,277486,2862,42533,486,290,154,49
1392.5,503,2964,251282,2423,47793,435,273,301,50
1393,473,3024,257512,2609,45423,390,310,225,84
1393.5,479,2843,253096,2342,45255,415,321,336,0
1394,468,2978,254536,2715,41345,442,293,382,46
1394.5,494,2773,255230,2858,41418,442,272,184,0
1395,550,3061,255128,2584,40417,483,319,306,0
1395.5,565,3021,259045,2665,37826,416,380,217,0
1396,549,2760,270489,2567,34644,335,237,208,60
1396.5,469,2822,272682,2550,38856,351,296,327,54
1397,487,2688,245866,2446,38629,342,165,129,0
1397.5,512,2778,246288,2297,38367,398,308,478,0
1398,455,2709,239432,2210,38597,333,359,264,56
1398.5,450,2638,240197,2265,38846,339,300,140,0
1399,409,2753,240234,2863,37745,318,312,211,0
1399.5,501,2717,233633,2708,36784,455,277,292,0
1400,372,2895,224458,2339,37466,467,193,240,0
1400.5,442,2869,240327,2466,40183,482,304,225,0
1401,463,2978,237663,2572,41603,420,256,259,48
1401.5,500,3265,235510,2919,44528,392,236,321,39
1402,445,2928,243869,2508,47441,445,321,219,0
1402.5,515,2986,242646,2469,40948,496,273,350,7
1403,479,2913,245226,2395,45276,544,274,299,0
1403.5,541,2894,265233,2540,42773,447,355,408,0
1404,488,2833,245918,2261,42372,453,283,338,24
1404.5,456,2852,246578,2151,41276,378,277,241,72
1405,445,2594,216911,2284,43599,315,301,254,0
1405.5,422,2634,213341,2181,51893,511,345,347,0
1406,399,2444,207256,2638,47318,389,391,260,29
1406.5,451,2618,223276,2450,37498,468,329,358,33
1407,491,2731,228569,2646,37238,450,309,105,0
1407.5,507,2636,213216,2438,34384,336,387,387,0
1408,415,2701,209985,2338,40816,415,286,381,35
1408.5,486,2773,228339,2283,38200,502,332,321,0
1409,519,2798,224572,2303,41438,374,355,88,68
1409.5,503,2475,216958,2644,36313,336,319,208,9
1410,472,2708,209025,2406,34589,449,338,181,0
1410.5,488,2375,203978,3633,37630,386,342,275,58
1411,383,2434,205770,3125,40921,502,290,221,36
1411.5,443,2646,199425,2472,42359,415,358,226,0
1412,464,2682,199338,2900,41245,482,299,402,44
1412.5,434,2527,192372,2417,41588,418,361,311,83
1413,429,2294,188347,2597,38533,416,384,325,0
1413.5,410,2402,203038,2258,42010,498,396,343,36
1414,460,2486,208025,2358,40254,440,372,331,10
1414.5,465,2621,195070,2085,43632,550,351,248,22
1415,432,2821,191911,2182,44454,364,354,264,35
1415.5,402,2513,210597,2049,44213,510,332,196,49
1416,517,2635,226784,2306,41534,317,342,281,9
1416.5,471,2884,219795,2556,38276,374,349,243,0
1417,434,2671,203961,2334,36159,428,336,208,0
1417.5,483,2888,208518,2606,38242,313,289,332,61
1418,350,2397,209741,2206,39169,408,353,334,46
1418.5,442,2464,195323,2327,36882,473,246,95,33
1419,410,2718,193693,2282,39664,331,358,147,117
1419.5,416,2738,206561,1962,38606,424,290,340,39
1420,397,2775,207896,2213,39759,483,349,179,79
1420.5,427,2396,207439,2092,45131,411,322,243,192
1421,402,2651,183579,2230,44509,513,378,270,169
1421.5,375,2210,175503,2224,44658,568,286,217,86
1422,355,2140,176659,1956,45108,422,435,228,51
1422.5,309,3066,165757,2084,45428,423,356,51,88
1423,361,3092,186075,2551,49488,511,310,301,111
1423.5,395,2638,187119,2422,50581,570,305,156,37
1424,387,2515,172544,2177,47491,433,343,102,41
1424.5,321,2516,170096,2386,46076,423,380,182,42
1425,426,2397,177859,2295,45994,387,332,272,0
1425.5,413,2660,184431,2139,47841,499,306,333,76
1426,391,2540,184766,1909,43574,524,333,247,85
1426.5,413,2578,185193,2492,44009,443,394,228,87
1427,330,2599,178088,2395,44446,448,297,206,7
1427.5,411,2371,182845,2205,47745,497,349,183,119
1428,409,2684,183431,2949,47627,417,348,208,0
1428.5,415,2414,184106,2744,49627,562,322,289,118
1429,393,2446,181016,2344,53907,594,307,345,84
1429.5,491,2522,183522,2258,51290,460,363,352,98
1430,361,2678,186862,2469,49567,460,350,137,66
1430.5,304,2432,178308,2143,51423,536,408,403,148
1431,403,2626,187865,2400,55088,459,357,215,161
1431.5,441,2810,194655,2328,51864,442,314,191,127
1432,476,2817,183216,2430,61824,494,362,94,205
1432.5,435,2695,178049,2369,57869,603,359,354,84
1433,338,2491,188615,2506,50892,538,344,171,22
1433.5,440,2594,186348,2754,50495,397,354,0,60
1434,407,2754,175751,2598,52622,549,297,73,38
1434.5,437,2639,185117,2461,50834,668,280,251,143
1435,500,2627,192191,2378,52634,519,266,190,104
1435.5,457,2882,196402,2711,47815,522,326,183,56
1436,524,2792,204921,2500,46751,514,352,4,73
1436.5,460,2513,189738,2101,44365,439,344,201,38
1437,396,2374,174930,2072,47452,481,254,335,43
1437.5,374,2489,183890,2832,48228,497,280,404,37
1438,373,2486,181630,2598,46345,506,271,161,89
1438.5,428,2469,167086,2382,47326,511,335,321,14
1439,373,2562,174604,2371,50085,490,342,0,0
1439.5,474,2825,176434,2295,55915,510,342,182,128
1440,484,2615,180766,2521,48562,583,398,0,71
1440.5,392,2835,176938,2392,50759,582,356,322,36
1441,399,2788,175498,2537,46593,453,270,374,26
1441.5,406,2579,173425,2402,47497,534,321,116,19
1442,436,2588,169789,2198,46547,493,358,283,0
1442.5,435,2617,178913,2690,47405,477,367,214,130
1443,467,3193,174399,2448,46759,677,427,244,99
1443.5,332,2511,167026,2588,49221,445,422,171,42
1444,401,2814,167662,2702,44730,495,360,198,71
1444.5,403,2739,157691,2369,45860,467,331,250,20
1445,344,2315,155078,2346,42435,362,334,419,35
1445.5,373,2602,151554,2237,48877,464,399,285,74
1446,406,2784,157626,2359,46988,492,307,194,78
1446.5,430,2705,149590,2291,47193,430,321,363,68
1447,463,2498,157571,2194,45014,492,353,168,68
1447.5,383,2689,153685,2281,43774,377,386,274,77
1448,452,2446,158408,2351,42015,440,353,66,4
1448.5,387,2594,160691,2359,43438,430,335,0,0
1449,430,2620,161447,2577,49142,553,303,84,53
1449.5,483,3040,167426,2625,50607,572,285,260,68
1450,471,2886,168340,6707,52274,606,327,163,119
1450.5,459,2879,169908,3389,51416,528,383,86,53
1451,428,2669,175326,2767,55444,539,333,285,84
1451.5,448,2797,172233,2566,55796,472,348,140,93
1452,394,3024,168115,2263,59683,609,370,214,83
1452.5,446,3311,176968,2816,59775,499,389,154,90
1453,457,3037,167339,2469,59282,577,349,283,101
1453.5,452,2754,181506,2489,51484,524,268,211,122
1454,487,2957,184219,2709,48184,551,288,166,21
1454.5,468,2727,170398,2402,60691,470,346,279,77
1455,441,2710,167751,2304,53998,593,330,403,95
1455.5,419,2705,175603,2365,52480,614,352,125,102
1456,409,2742,177454,2447,56422,484,400,422,92
1456.5,436,2511,178428,2450,58002,625,292,298,139
1457,448,2910,183864,2640,54628,672,281,308,58
1457.5,550,2826,182740,2965,52577,498,280,234,116
1458,474,2843,174014,2130,53722,543,393,255,160
1458.5,455,2789,164723,2467,51361,527,288,318,153
1459,404,2444,172173,2317,54449,581,324,182,108
1459.5,406,2546,169531,2671,59022,621,332,297,116
1460,430,3046,185134,2567,52589,413,301,139,56
1460.5,368,2844,193453,2471,62637,480,390,115,0
1461,384,2646,171579,2484,61457,424,307,204,0
1461.5,401,2663,169685,2413,59753,625,316,303,18
1462,472,2979,180300,2590,57878,460,295,178,57
1462.5,461,2696,171480,2552,61966,604,331,329,186
1463,465,2864,170911,2744,56394,551,342,311,74
1463.5,462,2994,175574,2406,55136,622,277,249,58
1464,460,2878,181935,2353,58264,541,299,250,30
1464.5,395,3376,179226,2484,58244,556,330,284,0
1465,421,3384,182184,2446,51609,552,271,188,27
1465.5,442,2554,169133,2250,58248,580,272,61,73
1466,431,2621,178318,2143,55932,663,250,349,154
1466.5,428,2584,185924,2064,52237,549,240,215,36
1467,468,2910,200850,2310,51708,468,301,141,29
1467.5,374,2499,201996,1998,51662,457,367,187,71
1468,366,2500,197429,2360,56720,535,306,241,170
1468.5,391,2334,165368,2092,61365,477,320,189,78
1469,406,2328,163529,2117,63096,575,323,404,124
1469.5,426,2411,169039,1951,68155,665,291,274,125
1470,501,2376,165356,2043,58545,626,357,272,116
1470.5,451,2544,175799,2409,53241,426,368,66,103
1471,389,2389,161433,2039,43663,471,397,229,37
1471.5,484,2620,169474,2220,40744,366,440,164,28
1472,503,2355,167378,2356,37795,324,462,184,0
1472.5,407,2499,154466,2355,31260,222,388,295,34
1473,404,2534,153763,2095,29799,447,392,271,0
1473.5,357,2274,160258,2103,30148,333,377,312,0
1474,355,2574,163004,2164,29651,351,470,291,0
1474.5,385,2504,170881,2379,29194,306,437,188,0
1475,405,2517,175715,2128,28840,307,340,69,0
1475.5,473,2531,177986,2110,30836,406,368,264,0
1476,500,3115,201227,2362,36479,511,263,163,19
1476.5,594,3446,226774,3128,40525,532,246,407,0
1477,585,3173,230868,2761,37679,464,292,119,0
